fkh,P32
ALiX,mRpS7
CG12877,Usf
CG12877,bsk
CG12877,byn
CG12877,CG9642
CG12895,tadr
CG12907,CG16978
CG12907,Peritrophin-15b
Ndg,CG4860
sel,His2A:CG31618
egr,CG13458
mRpL42,mbo
brp,drongo
CG12934,MED17
CG12934,Pp2B-14D
CG12935,Su(var)3-7
mms4,CG12547
CG12942,pasha
mRpL41,Asciz
mRpL41,Pih1D1
CG12963,csw
CG12975,MED8
CG12984,CG18063
CG12985,CG13247
CG12985,CanA1
CG12985,CG14840
CG12985,CG17564
CG12985,Syx7
CG12985,CycC
CG12985,CG8134
CG12985,eIF-3p40
CG12992,Cpr11A
CG12992,serp
CG12994,CG16853
CG12995,CG15080
CG13001,tey
CG13004,Vha36-2
CG13005,scu
CG13005,CG7911
CG13022,Mer
CG13022,ena
CG13022,f
CG13023,CG13868
CG13023,CLIP-190
sinah,CG17826
sinah,ttk
sinah,CG1965
sinah,CG2147
sinah,s-cup
sinah,CG34376
sinah,Eb1
sinah,CG3358
sinah,okr
sinah,cnn
sinah,SC35
sinah,CG6652
sinah,Sirup
sinah,pzg
sinah,CG8301
sinah,CG8929
sinah,CG9715
CG13031,Art4
CG13031,Rox8
CG13032,CG43861
CG13032,CG15764
CG13032,CG4617
CG13032,CG5009
CG13032,Prm
CG13032,CG6972
CG13042,CG31038
CG13047,Rox8
CG13050,Uro
CG13050,CG9192
CG13054,DNA-ligI
CG13066,CG4164
CG13067,CG15865
CG1307,CG15459
CG1307,RpLP2
CG1307,CG9368
CG13070,CG7290
PDCD-5,Pih1D1
CG13073,stc
CG13074,RpL19
CG13074,ctp
CG13075,CG13482
CG13077,CG13671
CG13083,Nnf1a
CG13083,tll
CG13083,CG13949
CG13083,CG17599
CG13083,Golgin84
CG13083,CG31029
CG13083,CG6664
CG13084,CG1968
CG13084,CG43427
CG13085,skl
CG13085,skpA
CG13090,CG14806
CG13097,CG4866
mRpL51,Ibf2
CG13113,CG3214
CG13114,Cpr92F
CG13124,mxt
CG13124,CG33017
TbCMF46,CG8301
TbCMF46,Pnn
CG13131,Cap-D2
CG13131,Hph
CG13131,CG9360
CG13138,CG7349
lft,ds
lft,aly
lft,ft
dpr19,CG17739
CG13144,CG32473
CG13144,Gl
CG13148,CG13148
CG1315,Git
CG13151,CG2129
CG13155,stg
CG13157,CG13630
CG13157,Bap60
Or49a,Mhc
CG13159,Trim9
CG1316,CG15772
SIP2,CG4853
SIP2,CG5987
Vha36-2,Fic
CG13185,MRG15
CG13186,CG3557
CG13186,CG6688
CG1319,mRpS17
cuff,del
CG13192,dmrt93B
CG13196,CG5866
CG13197,CG17003
CG13204,l(2)35Cc
CG13204,CG17734
CG42336,CG2982
CG42336,Pex23
Cpr47Ef,Cpr11A
zfh1,Tengl1
Cpr47Ee,LKR
CG13223,CG14044
CG13227,CG13721
CG13227,CG15422
CG13227,CG17777
CG1324,CG14427
CG13245,brk
CG13245,CG9706
LSm7,SmF
LSm7,SmE
LSm7,CG6610
Cyt-b5-r,CG17739
Cas,Gcn2
CG13293,CG6175
CG13293,CG6985
CG13295,Sin3A
CG13298,CG4066
CG13299,CG5346
CG13300,CG43129
Ccp84Af,CG9925
CG13310,Ugt86Dg
CG43367,CG5866
Sans,l(2)k09913
CG13321,CG13928
CG13321,CG18067
CG13321,CG44251
CG13322,dec-1
CG13322,CG4972
CG13322,Cul4
CG13332,w
CG42807,Jheh3
CG42807,bi
CG13337,CG30480
CG13337,SmB
CG13339,GstE7
S-Lap7,Ptp4E
Uba3,CG13407
Uba3,aralar1
Uba3,APP-BP1
CG13344,UbcD2
CG13344,eff
Aats-phe,CG13889
Rpn13,CG15262
Rpn13,Rpn13R
CG13362,squ
CG13362,mRpS17
CG13366,CG9014
Sgf11,e(y)2b
CG13384,Pde9
emb,CG14135
CG1339,cindr
CG42820,CAP
CG13407,CG14362
CG13407,CG17782
CG13407,Cyp9b2
CG13407,Membrin
CG13407,isoQC
CG13407,CG7024
CG13407,CG7309
mRpL35,CG15754
Cby,CG15576
bl,ps
qsm,CG31547
Nnf1a,CG15728
Nnf1a,CG17599
Nnf1a,CG6470
Nnf1a,CG6664
CG1344,CG17003
CG13454,ATPCL
CG13458,HLH4C
CG13458,mRpS26
Atg17,CG3085
CG13474,Pallidin
CG13474,MED9
CG13474,mbo
HGTX,CHOp24
CG13476,Pallidin
CG13476,CG17564
CG13476,CG17599
CG13476,CG17744
CG13476,Blos1
CG13476,Syx1A
CG13476,CG34404
CG13476,Dysb
CG13476,Dmn
CG13476,Hmg-2
CG13476,Cap
CG13477,l(2)06496
CG13488,CG18764
CG13494,Scamp
CG13501,CG9572
CG13502,Sry-alpha
CG13502,Cap-D2
CG13502,CG32706
Vrp1,WASp
Vrp1,dock
CG34205,CG43894
CG34205,Nf-YA
CG13510,CG15403
CG13510,boi
CG13511,CG13731
CG13511,epsilonTry
CG13511,CG31245
CG42565,CG3916
Obp58c,ScpX
asrij,CG14186
asrij,CG6293
asrij,Arf79F
CG13541,CG3662
CG13541,Ire1
CG13544,CG5024
yip3,CG8671
CG13551,GstT4
CG13551,Vha100-2
Not11,Not10
Not11,eIF5
spag,cpb
spag,Pih1D1
spag,cact
Crtp,odd
CG13581,HP6
CG13587,Sod3
CG42360,Set
sba,CG31559
CG13599,Gip
CG13604,CG5157
CG13609,CG42299
CG13609,CG8552
Anp,CG7910
CG13617,l(2)06225
CG13622,Hn
CG13624,CG18619
CG13625,dgt4
CG13627,CG14786
Rpb10,Bap60
blow,Crk
CG13631,gus
CG42331,CG6357
sosie,Karl
sosie,CG7886
Nmnat,P32
danr,CheA87a
danr,CG4617
danr,CtBP
CG13659,Rcd-1
CG13667,CIAPIN1
CG13678,CG14840
CG1368,RfC38
CG1368,Stam
CG1368,CG7080
Ipk2,CG14538
Ipk2,FucT6
Ipk2,CG6512
CG13689,LKR
CG13699,ms(3)76Ca
CG13700,Fit1
skl,mon2
CG13705,CG6707
CG13707,SsRbeta
CG13708,CG8924
yl,CG3711
CG13720,Golgin245
Or74a,CG17186
CG13733,CG15059
CG13733,CG3342
CG13733,l(2)06496
CG13737,aru
tsh,NHP2
CG13747,CG8191
CG43322,CG4546
Sem1,l(2)k01209
Sem1,CG6569
Sem1,PCID2
tll,CG15478
tll,CG31029
Gr28b,RpL22-like
MsR2,CG15479
CG13813,RpL3
CG13830,CG43129
CG13838,CG14071
CG13838,Tektin-A
CG13838,Vha36-3
CG13843,CG1622
CG13843,4EHP
CG13843,CG9624
mats,FoxP
mats,trc
CG13857,CG43894
CG13857,CG17777
CG13857,Rox8
CG13862,Sox100B
MED8,CG15556
MED8,CG3529
CG13871,CG18766
CG42553,mRpS30
CG13887,Zfrp8
CG13889,Rbp9
CG13889,spel1
CG13889,Lcp65Ac
tor,Pex14
CG13890,Pex5
nerfin-1,sd
nerfin-1,sm
sol,Git
sol,Oda
sol,CG16947
sol,Traf-like
sol,NimC1
mwh,Rpt6
mwh,CG2709
mwh,EloA
mRpL46,mRpL40
metl,Cdlc2
Cpr62Bb,CG8541
CG13936,Hn
CG13949,mon2
CG13949,mtacp1
stg,Lmpt
CG13950,CG15881
CG13950,CG17294
l(2)k10201,CG15443
CG13955,nmdyn-D7
sick,CG18094
CG13962,CG14354
CG13962,CG4386
sick,dock
CG13965,krz
CG13965,CG9754
CG43861,hdc
CG13972,Cam
CG13991,CG15710
CG13992,CG7548
CG13993,CG18764
CG13993,dor
CG13993,CG7185
CG13993,CG8854
CG13993,CG9522
CG13996,ras
CG13996,GlyS
Vm26Ac,didum
CG13999,CG14186
Cul5,CG7427
CG14011,CG4730
CG14011,rau
tomb,CG7182
CG14024,Jon65Aiv
Bsg25D,CG1678
Bsg25D,CG9795
cype,yellow-g
Bub1,Bub3
qtc,CG8997
Ran,PyK
CG14043,ncd
CG14044,noi
CG14044,CG3560
CG14044,CG8746
Ilp6,RpLP1
CG14053,CG33017
CG14053,CG33144
CG14053,CG7148
CG14053,CG9316
CG14054,CG42299
CG14071,CG17778
CG14071,CSN3
CG14071,Tektin-A
CG14073,l(3)73Ah
CG14073,CG4300
CG14074,RpL22-like
CG14075,RpLP1
CG14075,Nca
CG14079,krz
ms(3)76Ca,CG3124
ms(3)76Ca,CG4983
CG14102,CG5958
CG14104,Srp54
CG14104,CG4858
CG14104,ERp60
CG14110,CG4617
CG14110,CG9948
SNCF,cactin
CG14113,Hdc
CG14113,RPA2
CG43894,slp1
CG43894,CG17777
CG43894,Cpr72Ea
CG14120,His3.3A
ver,CycC
Smyd4,CG6218
CG44837,Su(H)
CG44837,CG8079
CG14128,cnn
Pallidin,CG17778
Pallidin,Blos1
Pallidin,CG30428
Pallidin,sip1
Pallidin,Hmg-2
Blos2,CG17570
Blos2,Cpr67Fa2
Blos2,Sec8
Blos2,tx
Blos2,CG8736
Blos4,CG14556
Blos4,CG15124
CG14151,alph
CG14154,Grasp65
Or67c,pont
Zasp67,CG15283
Zasp67,Sirup
Zasp67,A16
slgA,Mob4
CG33926,CG15546
CG14182,Sgt
CG14183,CG18081
CG14186,CG7675
CG14186,CG8814
CG14191,Frq2
HP1D3csd,CG41099
HP1D3csd,CG9902
Slu7,CG3294
CG14204,cact
RpS10b,CG14708
RpS10b,Cpr12A
CG14207,CG42500
CG14207,Syx4
CG14207,stv
CG14212,ND42
Tao,gw
p115,cactin
p115,CG43691
p115,CSN3
p115,CG9463
CG14220,Amun
CG14220,CG31224
CG14223,CG14671
Ubqn,Cpr97Eb
Ubqn,TotC
Ubqn,Ela
dome,CG3355
Mer,dao
Mer,CG6441
CG14232,Jabba
CG14232,CG4080
CG14232,CG4955
CG14232,CG9356
meso18E,CG14715
CoVIb,Updo
TwdlD,CG32068
TwdlD,CG43333
TwdlD,Sgt
TwdlD,TwdlJ
ms(3)K81,CG9426
CG14253,ATPCL
ng2,P32
CG1427,l(2)35Bd
CG14274,CG4073
CG14274,CG5327
CG14282,CG7611
EndoA,l(1)G0230
EndoA,Hdc
EndoA,Manf
CG14297,CG4813
fru,CG31999
CG14315,CG6683
CG14317,CG18292
CG14317,CG7386
CG14323,su(w[a])
CG14323,CG31211
CG14323,Srp54
CG14332,CG4066
CBP,CG15482
CBP,Snx1
CG14353,fau
CG14354,CG4229
CG14357,CtBP
CG42500,CG7368
CG14367,sbr
CG14367,mxt
CG14380,CG9684
CG14383,CG31029
CG14383,AMPdeam
CG14410,CG15209
CG14410,CG4554
CG14410,CG6283
CG14410,Lcp2
CG14410,CG9083
CG14414,CG8665
CG14419,Cpr78Cc
CG14422,CG3630
CG14427,Zasp66
CG14443,CG14837
CG14443,CG9715
CG14445,Gas41
CG14446,loqs
CG14450,CG7135
CG14454,CG15861
CG14456,CG3907
Src42A,Pkn
CG14478,CG5144
Inx3,Prosbeta4
CG14482,RPA3
Ir54a,CG15894
Ir54a,Fhos
Ir54a,wg
Ir54a,Ggt-1
Ir54a,ana
Ir54a,PpD6
CG14488,stck
zfh2,tn
CG14490,qless
CG14490,CG31211
CG14490,Srp54
CG14490,CG5808
CG14506,CG15549
CG14506,Rad23
CG14506,CG8116
CG14506,CG8141
CG14506,Art9
CG14508,fand
yem,CG6497
yem,fau
Brd8,LS2
Brd8,CG7239
CG14528,CG5846
TwdlE,CG15865
TwdlE,flw
TwdlE,ewg
TwdlE,CenG1A
TwdlE,TwdlJ
TwdlE,a
Herp,Der-2
wdn,ktub
CG14540,Traf-like
Vps2,Vps24
CG14544,CG4335
CG14544,CG8335
CG14544,CG9596
CG14546,ttk
CG14546,CG18764
CG14546,CG2712
CG14546,CG31029
CG14546,esg
CG14546,RAF2
CG14546,CG6276
E(spl)mbeta-HLH,eg
E(spl)mbeta-HLH,tap
Sld5,Psf2
Sld5,Psf1
CanA1,Eip63F-1
CanA1,CanB
CG14551,aru
CG14556,CG15124
CG14556,CG4325
CG14568,CG30463
CG14569,CG4622
ORMDL,Tfb1
Ir20a,CG3808
CG14589,gus
CG14589,RpL38
CG14589,Kr-h2
CG14589,Dip-B
CG14598,CG6497
CG14606,Ufd1-like
CG14609,dalao
CG1461,CG17325
CG1461,simj
e(y)2b,Taf12
e(y)2b,4E-T
e(y)2b,CG4066
e(y)2b,Rpn12
e(y)2b,RpS8
Cp110,CG8117
tilB,CG5189
CG14625,CG16721
CG14625,Cfp1
CG14625,CG18259
CG14625,CG3323
CG14625,dx
CG14625,Prm
CG43867,drk
CG14634,CG2017
abs,CG6066
ey,IntS9
CG14641,CG2701
CG14641,CG5869
CG14641,CG9911
TwdlG,CG9776
CG14645,CG30403
CG14647,CG14647
CG14647,MED20
CG14647,CG30417
CG14647,CG43427
CG14658,CG3819
CG14667,wdb
CG14667,SelD
Syx16,Ama
Syx16,alphaSnap
Syx16,CG7856
Syx16,Vps45
CG14684,yuri
CG14684,CG8449
Cap-H2,CG5612
Cap-H2,MRG15
CG14688,Fer3HCH
CG14692,CG2200
CG14692,rpr
CG14696,Pli
Gycbeta100B,CG31111
PGRP-LB,CG16790
CG14708,Grasp65
CG14711,CG15710
CG14711,rdx
CG14712,CG43340
CG42327,CG8093
I-t,CG31457
I-t,Pp1-87B
Sec24AB,BM-40-SPARC
CoVa,Nmd3
CoVa,CG9313
Tk,GlyS
CG14739,CG1792
CG14739,akirin
Es2,CG16890
Es2,CG7352
RpL13A,Eap
RpL13A,P32
RpL13A,Arpc5
Vps25,Vps20
Vps25,lsn
Vps25,CG7191
CG14756,MED1
Cp36,Pino
Cp36,CG7379
Ns3,CG5537
MED18,MED20
CG14803,CG17650
CG14803,Obp99a
CG14803,CG6337
deltaCOP,cyp33
CG14814,smt3
Pex5,CG18094
Pex5,side
Pex5,chas
Pex5,CG3605
Pex5,Pex14
Pex5,CG6178
Pex5,Uro
Pex5,Asph
Pex5,dpn
Pex5,CG9527
Pex5,CG9577
Pgam5,CG3894
CG14818,CG15124
CG14818,SIP3
CG14818,sns
CG14818,CG7371
CG14818,Abi
CG14818,CG9951
CG14820,CG17109
CG14820,CG3348
mei-P22,14-3-3zeta
CG14829,Nup54
CG14830,CG2617
CG14830,pio
CG14837,Traf-like
CG14837,CG4582
CG14850,Oda
CG14853,morgue
CG14853,CG7386
CG14855,CG9757
CG1486,elfless
CG1486,CG15712
CG1486,CG7712
CG14860,CG4747
CG14864,hec
CG14864,mTerf3
CG14864,GstO3
CG14866,CG7191
AdamTS-A,CG15167
AdamTS-A,CG15631
AdamTS-A,unc-119
AdamTS-A,CG32354
AdamTS-A,CG3939
AdamTS-A,Drep-1
AdamTS-A,CG9911
krz,CG15172
krz,tinc
krz,AMPdeam
krz,CG5877
krz,CG6254
CG14870,mRpS35
CG14870,Hn
CG14879,CG14879
CG14882,Sug
CSN5,CSN6
CSN5,CG7916
Gyc-89Da,CG15529
Rpt6,Atg6
Rpt6,ERR
Rpt6,Cpsf73
CG14894,CG5703
CG14898,mtacp1
Usp7,alpha-catenin-related
Usp7,mr
Scp2,HLH4C
CG14905,CG8248
CG14905,NimC1
CG14905,Cap
CG42747,tinc
AstC,CG4998
spz4,Mfe2
CG14932,CG4747
CG14932,CG4813
CG14933,csw
Mal-B2,CG17109
Tsp33B,Tsp86D
BtbVII,mTTF
CG14961,krimp
CG14961,dia
Asciz,ctp
CG14965,HLH4C
CG14965,CG9072
CG14977,Cdk4
CG14985,CG9992
CG14989,nmd
CG14989,Nbr
Ack,SH3PX1
CG14995,CG14995
CG14995,CG15208
RfC4,RfC3
Teh2,CG4073
Cpr64Aa,vlc
Cpr64Ac,Trs20
CG15022,barc
CG15025,CG9925
CG43737,betaggt-II
CG43737,CG7229
CG1503,Hdac3
CG15036,CG6443
CG15042,CG8417
CG15056,CG15456
CG15067,CG17739
CG15068,CG4115
CG15071,CG15071
CG15071,Fer1HCH
CG15071,crl
CG15071,CG34404
CG15071,Amph
CG15080,Cpr11A
CG15080,CG5327
CG15080,CG7158
CG15080,Cpr65Ec
CG15080,PK2-R1
CG15080,RnrS
CG15087,Git
CG15087,Os-C
CG15093,CG18128
Jheh1,CG5144
Jheh2,CstF-64
tn,l(1)G0334
CG15109,c-cup
CG15109,yellow-g
CG15109,CG7611
CG15109,CSN4
ena,CG9837
CG15116,Oxp
mip40,PK2-R1
Ir56b,EF2
CG15124,Adf1
CG15124,Syx1A
CG15124,Ufd1-like
CG15124,Cdk5
CG15124,CG9754
CG15125,CG5846
CG15126,Fem-1
CG1513,Vap-33A
CG1513,fan
CG1513,CG9205
CG15130,CG6726
elfless,CG18476
elfless,RpL36A
CG15152,Snx1
CG15152,l(2)06496
CG15153,CG9304
Socs36E,CG5869
CG15161,dx
CG15167,Rbp1
CG15169,eIF2B-beta
CG15185,sgg
Prosalpha7,CG4707
Prosalpha7,Prosalpha6
CG43155,CG2107
CG15198,Spn42Dc
CG15199,CG7409
WASp,CG7251
CG15209,Lcp2
CycK,CG2258
CycK,ninaA
CycK,nemy
RPA3,RPA2
CkIIbeta,CG43921
CkIIbeta,CG6724
CkIIbeta,CG8159
CG1523,mbt
CG15239,Acp95EF
CG15239,CG5823
CG15249,Atg16
dao,CG32485
Pburs,c-cup
wb,CG43129
CG15293,shg
CG15293,l(2)05714
CG43347,Zip88E
CG43347,ial
Or9a,tinc
CG15308,ewg
CG15330,CG4546
CG15336,CG9426
CG15337,CG3062
Dip1,Dip1
Dip1,CG18011
Dip1,CG3689
CG15370,CG17666
CG15370,NimB4
CG15370,slow
CG15370,rau
CG43689,c-cup
CG43689,dgt2
tmod,SH3PX1
Spindly,Pp1-87B
CG15422,CG17018
CG15422,CG17600
CG15422,CG17777
CG15422,phl
CG15422,snRNP-U1-C
CG15422,CG7080
CG15422,CG7381
CG15422,CG8086
CG15422,CG8541
CG15423,sav
CG15423,Cpr72Ea
CG15425,CR17024
CG15435,Tim9a
CG15435,CG7139
CG15435,CG9072
CG15436,CG18764
CG15436,CG7386
CG15436,CG8301
CG15436,CG9928
morgue,RpS2
CG15440,CG7049
CG15450,betaTub60D
RunxB,CG30122
CG15458,CG31958
SIP3,Tm1
SIP3,Dysb
SIP3,CG7371
CG15472,CG5376
CG15472,sip2
CG15475,lea
CG15478,CG16896
CG15478,CG3649
CG15479,RpS3
Ski6,Eip63F-1
CG15482,Prosalpha6T
CG15482,CG9776
CG1550,Ef1alpha48D
CheB93a,CG16904
dmrt99B,mxt
CG15515,Cpr49Ae
Capa,CG7191
Sas-6,CG6607
CG15525,crn
CG15526,CG9902
CG15529,CG43691
CG15529,CG5327
Nop17l,Pp1-87B
Nop17l,Pp1alpha-96A
CG15530,Taz
CG15531,CG4020
hdc,unk
CG15544,CG1894
CG15546,CG1894
CG15561,mab-21
CG15564,lat
CG15564,RhoBTB
CG15576,CG5780
CG15576,CG8508
CG15577,CG6808
CG15578,Trn-SR
CG15578,Chi
CG15580,cact
Osi1,mus304
Osi24,heph
Osi10,gnu
CG15615,RpL12
CG15618,fand
CG15631,CG15676
CG15631,Ubc-E2H
CG15631,CG31036
CG15631,CG32086
CG15631,TrxT
CG15631,CG3323
CG15631,Akt1
CG15631,CG5376
CG15631,CG7371
CG15631,CG7484
CG15631,asf1
Taf12L,CG2209
Elba3,Lcp3
Elba3,CG3560
Elba3,eIF2B-gamma
Elba3,Cpr65Ea
Elba3,EloC
HP6,Lhr
HP6,cav
HP6,HP4
CG15638,Vti1
CG15646,raps
CG15646,P32
CG15646,Arpc3B
CG15651,CG18766
Lapsyn,CG9293
CG15676,Yippee
CG15676,CG32086
CG15676,Pnn
CG15676,TSG101
RpS20,ranshi
CG15705,Pp1-87B
CG15705,fan
CG15705,l(2)06496
krimp,rdx
CG15710,wdb
CG15710,CG9967
CG15717,CG8525
Chrac-16,AdipoR
wisp,CG2116
CG15741,ABCB7
Neto,Zasp52
Neto,hale
CG15754,Fbp2
Cpr12A,JhI-1
CG15760,RpS9
CG15764,CG17494
CG15764,Amph
CG15772,l(3)03670
CG15772,DNApol-delta
Tre1,Ady43A
CG1578,fand
Vsx2,CG17666
Vsx2,Trim9
Vsx2,CG4835
Vsx2,CG6933
Vsx2,CG6996
CG15803,RASSF8
pfk,lolal
CG15831,CG31111
Adf1,Adf1
Adf1,CG18675
Adf1,Cpr66D
Adf1,CG6607
Adf1,CG7239
Eip63F-1,Clamp
Pka-R2,CG3011
Pka-R2,Taf11
CG15863,CG6726
CG15863,Prosbeta5R1
Crk,CG2662
Crk,Mhcl
Crk,CG42404
CG15878,CG7191
Cpr97Eb,CG5674
Cpr97Eb,rau
Cpr97Eb,CG9184
Ravus,Ravus
REG,LS2
CG15912,CG9911
CG15914,CG8079
CG15916,RpL18A
CG15923,alien
CG1598,CG3838
CG1598,CG6357
Drat,Cys
CG1602,Picot
Ork1,CG42299
comt,Ada2a
Hmr,l(3)76BDm
Coop,Cdlc2
Coop,CTPsyn
CG1622,CG1622
CG1622,CG31211
CG1622,CG5808
IP3K2,yuri
CG1631,slx1
Jafrac1,XRCC1
Jafrac1,CG6762
Nrg,Ak6
CG1635,P5cr-2
CG1635,Dyb
CG1636,CG9101
CG1638,CG31961
CG1638,CG7878
Atg5,Atg16
Atg5,Fem-1
CG1647,raps
CG1648,CG1746
sofe,CG31156
sofe,sip2
Doa,Ubp64E
unc-119,CG7840
Tim9a,CG3528
CG1671,CG7191
CG16711,CG4619
CG16717,SH3PX1
CG16719,CG6688
CG16719,312
CG16721,gammaTub37C
CG16721,CG4882
CG16721,Prm
CG16721,alphaTub67C
Smn,Smn
Smn,Gem3
Smn,Rac2
Git,CG7611
CG16734,Mhc
CG16734,Srp72
slp1,gro
CG1674,gammaTub23C
Rh2,CG5604
Oda,Gip
Oda,CG4820
Oda,CG7386
Ntmt,Art8
CG16753,wge
CG16758,eIF-2beta
cactin,CG16865
cactin,CG17568
cactin,CG2278
cactin,CG3213
cactin,HP1b
cactin,Pnn
CG1677,GalNAc-T2
CG16781,CG4955
pr,pr
pr,CG6279
CG16790,Prp19
SmF,SmE
SmF,CG2021
SmF,CG6610
GstT4,CG8032
CG16812,CG2926
CG16812,CG3338
CG16812,mei-S332
CG16826,CG8490
lectin-33A,CG7191
CG16838,Br140
Art8,RpL12
CG16852,sina
CG16854,14-3-3zeta
Ance-2,CG5375
Ance-2,Cyp316a1
Acyp,CG7742
Vm32E,RpS5a
NimC3,wntD
CG16886,CG9975
CG16894,l(3)03670
CG16894,CG4042
CG16894,ArfGAP3
FoxP,FoxP
FoxP,CG18132
FoxP,CG2104
FoxP,CG7264
FoxP,CG9632
CG16926,CG1986
CG16941,noi
CG16947,CG2201
CG16947,Hexim
CG16947,l(2)not
CG16947,Spn28Dc
CG16947,brk
dgt2,Vps20
dgt2,E(spl)m8-HLH
CG16972,Spn43Ab
CG16972,CG5611
Sfmbt,CG3528
CG16978,CG7211
CG16978,Tapdelta
skpA,CG2247
skpA,Fsn
skpA,CG9316
skpA,toc
skpA,Skp2
skpA,ppa
CG16984,spz3
CG16985,RpS2
daw,Mcm2
Roc1b,Ubc12
CG17002,RASSF8
CG17003,CG5447
lectin-30A,Sep2
lectin-30A,Prosbeta5R1
CG17018,Cpr62Bc
GstT3,Cchl
CG17030,da
CG17032,Cdlc2
CG42319,Mbs
CG42319,CG3557
yellow-e2,CASK
yellow-e3,Mhcl
klar,CG9669
CG17048,Scamp
Met,Khc
CG43691,mxt
CG43691,crn
CG43691,CG3342
CG43129,CG32486
CG43129,pix
CG43129,Ada2b
CG17104,slx1
CG17108,CG5987
CG17110,CAH2
hth,tamo
hth,exd
CG17122,CG18766
CG17124,CG8642
CG17134,Su(fu)
CG17134,Gbeta76C
Rbp1,gem
Rbp1,CG3294
Rbp1,vas
Rbp1,Rsf1
CG17141,bab2
thoc7,CG32809
thoc7,DNApol-epsilon
ssp,tx
ssp,l(3)j2D3
CG17154,CG2017
squ,CG17765
squ,Hil
squ,nwk
su(f),CstF-64
ACXA,Mst57Db
Kah,Aef1
MED30,CG4960
CG17186,CG8204
CG17190,Her
CG17219,CG7139
CG17221,cnn
Or59c,CG6950
CG17230,CG7264
CG17230,nmdyn-D7
PlexB,CG7366
dlg1,Miro
Nek2,drk
GABPI,Lin29
GABPI,CG6758
CG17259,CG18301
CG17260,Prosbeta2R1
CG17265,CycC
CG17265,Cpr49Ae
CG17266,Prp18
AdSS,SPoCk
CG17290,Irp-1A
CG17292,CG31792
CG17292,CG8449
CG17292,Acp53Ea
Wdr82,su(s)
Wdr82,CG9330
2mit,Pcd
ScpX,CG32486
CG17325,CG9578
CG17325,Cpr73D
Prosbeta4,jigr1
Prosbeta4,CG4328
VhaSFD,Cyp6d5
CG17337,Rpn11
Lk6,RpL22
CG17344,CG9650
l(2)37Ce,betaTub60D
drl,CG2246
Taf12,yps
Taf12,CG5662
CG17359,Ady43A
CG17360,Pp1-87B
CG17364,CG8191
Lnk,CG1890
CG17377,sty
CG17377,CG34168
CG17377,CG9911
jigr1,jigr1
jigr1,CG2199
jigr1,CG5070
CG17385,CG8701
Ntf-2,CG2199
Ntf-2,CG31917
CG41099,CG18672
CG41099,CG5846
CG41099,Neos
CG17440,Or98b
Cfp1,inv
Cfp1,CG18259
Cfp1,CG9426
Cfp1,CG9640
HP5,Su(var)205
Kif3C,IntS1
RpL5,EF2
RpL5,CG2678
CG1749,CG2924
mad2,CG32000
CG1750,noi
Cbs,Rho1
GstE6,Hsp23
GstE7,koi
GstE8,jdp
Spf45,Nos
CG17549,CG5466
CG17560,CG8417
CG17564,CG17744
CG17564,Syx7
CG17564,MED28
CG17564,Dysb
CG17564,Pnn
CG17568,CG17826
CG17568,CG5078
CG17568,DNApol-alpha73
CG17575,usp
sca,alph
cad,CG32647
Usf,cm
CG17593,Ptp4E
S6kII,mxt
CG17599,CG17778
CG17599,yellow-g
CG17599,Dysb
CG17599,Lcp2
CG17599,Ibf2
CG17601,ctp
c(3)G,CG3939
c(3)G,ATPsyn-Cf6
nod,GATAd
CG17637,CG7441
EcR,Spn42Dd
CG17652,CG6733
CG17666,CG31122
CG17666,odd
CG17666,CG4151
CG17666,CG5011
CG17666,Grasp65
CG17666,PCNA
CG17666,brk
CG17666,CG9663
CG17666,hkb
SP,Dl
DIP1,CG9715
fz,gnu
HDAC4,14-3-3zeta
CG17712,CG17712
CG17712,CG5984
dap,PCNA
ZnT63C,RpL37A
CG17737,eIF3-S8
CG17738,und
CG17739,CG2059
CG17739,h-cup
CG17739,slv
CG17744,CG6470
CG17744,Cap
CG34401,ocn
CG17765,CG17765
CG17765,Hil
Acam,unc-13
Acam,KCNQ
Acam,Oli
Acam,wupA
CG17777,modSP
CG17777,noc
CG17777,snRNP-U1-C
CG17777,CG7381
CG17778,CG17803
CG17778,CG3295
CG17778,Dysb
CG17778,CG9951
Acp29AB,CG31999
Acp29AB,ERR
Acp29AB,RnrS
CG17801,CG17855
CG17801,CG4617
CG17801,CG4730
CG17801,CG7742
CG17802,wek
CG17802,mei-S332
CG17802,rti
CG17802,CG8319
CG17806,cbs
Uba1,Alas
CG17829,CG7101
CG17829,Tab2
CG17829,CG8301
CG17834,p38b
inv,CG1868
inv,gro
inv,CG9640
CG17841,Sam-S
CG1785,Rbsn-5
CG17855,CG4730
CG17855,CG8301
CG17856,CG8907
14-3-3zeta,Tektin-A
cnc,CG8927
cnc,maf-S
CG17896,Kap-alpha1
Cyt-c-p,Pih1D1
CG17904,CG4858
CG17912,tgy
CG17912,Bub3
yellow-b,Or85a
CG1792,CG18764
CG1792,spin
Acp95EF,CG9757
Mhc,CG8080
comm,RpS9
HmgD,Erk7
Sry-alpha,CG5323
pan,alph
CG17985,FucTD
Ance-3,CG3376
ras,ras
CG17999,Irp-1A
CG17999,CG9993
pasha,drosha
CG18004,CG31111
CG18004,CG3342
CG18012,CG7025
lt,AP-2mu
regucalcin,CG4769
regucalcin,Graf
CG18063,Cam
Cpr57A,Gcn5
CG18067,CG9875
shot,CG7379
